,0
lugar_residencia,lugar_residencia
dedicacion,dedicacion
tipo_de_contrato,tipo_de_contrato
posicion,posicion
anos_de_experiencia,anos_de_experiencia
maximo_nivel_de_estudios,maximo_nivel_de_estudios
seniority,seniority
salario,salario
html,html
javascript,javascript
php,php
typescript,typescript
c#,c#
python,python
r,r
scala,scala
sql,sql
css,css
.net,.net
java,java
deluge,deluge
vba,vba
bash/shell,bash/shell
c,c
c++,c++
rust,rust
gdscript,gdscript
go,go
tailwind,tailwind
groovy,groovy
ruby,ruby
liquid,liquid
kotlin,kotlin
apex,apex
dart,dart
objective-c,objective-c
swift,swift
solidity,solidity
abap,abap
clojure,clojure
pinescript,pinescript
alteryx,alteryx
mulesoft,mulesoft
perl,perl
pixi js,pixi js
sway,sway
assembler,assembler
smalltalk,smalltalk
cobol,cobol
android,android
matlab,matlab
verse,verse
delphi,delphi
elixir,elixir
google apps script,google apps script
power fx ,power fx 
genexus,genexus
jbase,jbase
react native,react native
arduino,arduino
julia,julia
visualforce,visualforce
salesforce,salesforce
bash,bash
terraform,terraform
saql,saql
erlang,erlang
shopify,shopify
nestjs,nestjs
gwt,gwt
web components,web components
rpg,rpg
rpgle,rpgle
sqlrpgele,sqlrpgele
dbt,dbt
plsql,plsql
spark,spark
vb6,vb6
powershell,powershell
pl/sql,pl/sql
ln4,ln4
visual fox pro,visual fox pro
regex,regex
bpm,bpm
gosu,gosu
asp classic,asp classic
ansible,ansible
advpl,advpl
vb asp,vb asp
visual foxpro,visual foxpro
jde,jde
qlik,qlik
db2,db2
genexus 8 ,genexus 8 
oracle,oracle
0,0
 vb6, vb6
4gl,4gl
powerbuilder,powerbuilder
xquery,xquery
xpath,xpath
pyspark,pyspark
xml,xml
yul,yul
vue js,vue js
oracle forms,oracle forms
oracle reports,oracle reports
jasper reports,jasper reports
oracle ords,oracle ords
jcl,jcl
cshtml,cshtml
pl sql,pl sql
abls ,abls 
genexus ,genexus 
apex (salesforce),apex (salesforce)
rexx,rexx
ssis,ssis
graphql,graphql
mulesoft ,mulesoft 
iron python,iron python
sqr,sqr
vbscript,vbscript
blue prism,blue prism
poweshell,poweshell
classic asp,classic asp
salario_en_millones,salario_en_millones
seniority_encoded,seniority_encoded
lugar_residencia_encoded,lugar_residencia_encoded
dedicacion_encoded,dedicacion_encoded
tipo_de_contrato_encoded,tipo_de_contrato_encoded
maximo_nivel_de_estudios_encoded,maximo_nivel_de_estudios_encoded
